Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,Bethel,(907) 543-6300,Acute Care Hospitals,Tribal,Yes,Y,2,17.0,7,3,0,3,0,,8,1,0,1,0,,11,4,0,4,0,,8,8,,14,4,
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,Anchorage,(907) 729-3971,Acute Care Hospitals,Government - Federal,Yes,Y,2,,7,6,0,6,0,,8,7,0,6,1,,11,8,0,6,2,,8,8,,14,8,
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),673 MDG 5955 Zeamer Ave,JBER,AK,99506,Anchorage,(907) 384-1110,Acute Care - Department of Defense,Department of Defense,Yes,,,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0
02014F,Bassett ACH (FT Wainwright),4076 Neely Road,Fort Wainwright,AK,99703,Fairbanks North Star,(907) 361-4000,Acute Care - Department of Defense,Department of Defense,Yes,,,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,310 BENNETT STREET PO BOX 1081,WRANGELL,AK,99929,Wrangell,(907) 874-7000,Critical Access Hospitals,Government - Local,No,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,1,0,1,0,,8,Not Available,5.0,14,4,
021308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,Nome,(907) 443-3311,Critical Access Hospitals,Tribal,Yes,,,16.0,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,3,1,2,0,,8,Not Available,5.0,14,1,
021309,BRISTOL BAY AREA HEALTH CORPORATION,P O BOX 130,DILLINGHAM,AK,99576,Dillingham,(907) 842-5201,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16.0,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,2,0,2,0,,8,Not Available,5.0,14,1,
021310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,Northwest Arctic,(907) 442-3321,Critical Access Hospitals,Tribal,Yes,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,14,1,
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,North Slope,(907) 852-4611,Critical Access Hospitals,Tribal,Yes,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,3,0,3,0,,8,Not Available,5.0,14,2,
021314,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,Sitka,(907) 966-2411,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,16.0,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,3,0,3,0,,8,Not Available,5.0,14,4,
024001,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK,99508,Anchorage,(907) 264-3526,Psychiatric,Proprietary,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
024002,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,ANCHORAGE,AK,99508,Anchorage,(907) 269-7100,Psychiatric,Government - State,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,1600 SOUTH 20TH AVENUE,SAFFORD,AZ,85546,Graham,(928) 348-4000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,16.0,7,2,0,2,0,,8,2,0,2,0,,11,6,0,6,0,,8,8,,14,10,
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,Apache,(928) 729-8000,Acute Care Hospitals,Government - Federal,Yes,,2,17.0,7,3,1,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,14,4,
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,Coconino,(928) 283-2501,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,3,,7,1,0,1,0,,8,3,0,3,0,,11,4,0,4,0,,8,8,,14,3,
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,Pima,(520) 362-7003,Acute Care Hospitals,Tribal,Yes,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,1,0,1,0,,8,Not Available,5.0,14,Not Available,5.0
030077,SAN CARLOS APACHE HEALTHCARE CORP,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,Gila,(928) 475-1200,Acute Care Hospitals,Government - Federal,No,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,14,1,
030078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,Maricopa,(602) 263-1200,Acute Care Hospitals,Government - Federal,No,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,2,0,2,0,,11,2,0,2,0,,8,8,,14,4,
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,Apache,(928) 674-7001,Acute Care Hospitals,Government - Federal,Yes,,,16.0,7,2,0,2,0,,8,1,0,1,0,,11,3,0,3,0,,8,8,,14,4,
030113,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,Navajo,(928) 338-4911,Acute Care Hospitals,Government - Federal,No,,,16.0,7,1,0,1,0,,8,1,0,1,0,,11,2,1,1,0,,8,Not Available,5.0,14,2,
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,Pima,(520) 393-4700,Acute Care Hospitals,Proprietary,Yes,Y,1,,7,4,0,4,0,,8,1,0,1,0,,11,7,2,5,0,,8,8,,14,6,
031305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,Navajo,(928) 737-6000,Critical Access Hospitals,Tribal,No,,,16.0,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,2,0,2,0,,8,Not Available,5.0,14,1,
031307,PARKER INDIAN HEALTH CENTER,12033 AGENCY ROAD,PARKER,AZ,85344,La Paz,(928) 669-2137,Critical Access Hospitals,Government - Federal,Yes,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,14,1,
031308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,Pinal,(520) 562-3321,Critical Access Hospitals,Government - Federal,Yes,,,16.0,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,14,1,
031309,SAGE MEMORIAL HOSPITAL,HIGHWAY 264 WEST AND 191 SOUTH,GANADO,AZ,86505,Apache,(928) 755-4500,Critical Access Hospitals,Voluntary non-profit - Private,No,,,16.0,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,2,1,1,0,,8,Not Available,5.0,14,2,
034004,BANNER BEHAVIORAL HEALTH HOSPITAL,7575 EAST EARLL DRIVE,SCOTTSDALE,AZ,85251,Maricopa,(480) 448-7500,Psychiatric,Voluntary non-profit - Private,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034013,"ST. LUKE'S BEHAVIORAL HOSPITAL, LP",1800 EAST VAN BUREN,PHOENIX,AZ,85006,Maricopa,(602) 251-8535,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034020,HAVEN BEHAVIORAL HOSPITAL OF PHOENIX,"1201 SOUTH 7TH AVENUE, SUITE 200",PHOENIX,AZ,85007,Maricopa,(623) 236-2000,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034021,ARIZONA STATE HOSPITAL,2500 EAST VAN BUREN STREET,PHOENIX,AZ,85008,Maricopa,(602) 220-6000,Psychiatric,Government - State,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034022,SONORA BEHAVIORAL HEALTH HOSPITAL,6050 NORTH CORONA ROAD,TUCSON,AZ,85704,Pima,(520) 469-8700,Psychiatric,Proprietary,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034023,"GUIDANCE CENTER, THE",2187 NORTH VICKEY STREET,FLAGSTAFF,AZ,86004,Coconino,(928) 527-1899,Psychiatric,Voluntary non-profit - Private,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034024,AURORA BEHAVIORAL HEALTH SYSTEM,6015 WEST PEORIA  AVENUE,GLENDALE,AZ,85302,Maricopa,(623) 344-4400,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034025,WINDHAVEN PSYCHIATRIC HOSPITAL,3347 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,AZ,86314,Yavapai,(928) 899-7343,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034026,VALLEY HOSPITAL,3550 EAST PINCHOT AVENUE,PHOENIX,AZ,85018,Maricopa,(602) 952-3900,Psychiatric,Voluntary non-profit - Other,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034027,CHANGEPOINT PSYCHIATRIC HOSPITAL,1920 WEST COMMERCE DRIVE,LAKESIDE,AZ,85929,Navajo,(928) 368-4110,Psychiatric,Voluntary non-profit - Private,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034028,AURORA BEHAVIORAL HEALTHCARE-TEMPE,6350 SOUTH MAPLE AVENUE,TEMPE,AZ,85283,Maricopa,(480) 345-5400,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034029,OASIS BEHAVIORAL HEALTH HOSPITAL,"2190 NORTH GRACE BOULEVARD, BUILDING A",CHANDLER,AZ,85225,Maricopa,(480) 917-9301,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034030,PALO VERDE BEHAVIORAL HEALTH,2695 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712,Pima,(520) 322-2888,Psychiatric,Voluntary non-profit - Private,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034031,QUAIL RUN BEHAVIORAL HEALTH,2545 WEST QUAIL AVENUE,PHOENIX,AZ,85027,Maricopa,(602) 455-5700,Psychiatric,Voluntary non-profit - Other,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034032,COPPER SPRINGS EAST- GILBERT,10550 WEST MCDOWELL ROAD,AVONDALE,AZ,85392,Maricopa,(480) 565-3035,Psychiatric,Proprietary,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034033,CORNERSTONE BEHAVIORAL HEALTH EL DORADO,1400 NORTH WILMOT ROAD,TUCSON,AZ,85712,Pima,(520) 222-8268,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034034,DESTINY SPRINGS HEALTHCARE,17300 NORTH DYSART ROAD,SURPRISE,AZ,85378,Maricopa,(623) 233-3000,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
034035,AVENIR BEHAVIORAL HEALTH CENTER,16561 NORTH PARKVIEW PLACE,SURPRISE,AZ,85374,Maricopa,(480) 229-9894,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
040074,NORTH METRO MEDICAL CENTER,1400 BRADEN STREET,JACKSONVILLE,AR,72076,Pulaski,(501) 985-7000,Acute Care Hospitals,Proprietary,Yes,,3,,7,3,0,3,0,,8,2,0,2,0,,11,4,0,4,0,,8,Not Available,5.0,14,3,
041317,DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,FORDYCE,AR,71742,Dallas,(870) 352-6300,Critical Access Hospitals,Government - Local,Yes,,,16.0,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,2,0,2,0,,8,Not Available,5.0,14,5,
044004,VISTA HEALTH FAYETTEVILLE,4253 CROSSOVER ROAD,FAYETTEVILLE,AR,72703,Washington,(479) 521-5731,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044005,BRIDGEWAY HOSPITAL,21 BRIDGEWAY ROAD,NORTH LITTLE ROCK,AR,72113,Pulaski,(501) 771-1500,Psychiatric,Proprietary,Yes,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044006,VALLEY BEHAVIORAL HEALTH SYSTEM,10301 MAYO DRIVE,BARLING,AR,72923,Sebastian,(479) 494-5700,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044007,RIVENDELL BEHAVIORAL HEALTH SERVICES,100 RIVENDELL DRIVE,BENTON,AR,72019,Saline,(501) 316-1255,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044011,ARKANSAS STATE HOSPITAL,305 S PALM STREET,LITTLE ROCK,AR,72205,Pulaski,(501) 686-9000,Psychiatric,Government - State,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044017,UNITED METHODIST BEHAVIORAL HOSPITAL,1601 MURPHY DRIVE,MAUMELLE,AR,72113,Pulaski,(501) 803-3388,Psychiatric,Voluntary non-profit - Private,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044019,SPRINGWOODS BEHAVIORAL HEALTH SERVICES,1955 WEST TRUCKER'S DRIVE,FAYETTEVILLE,AR,72704,Washington,(479) 973-6000,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044020,RIVERVIEW BEHAVIORAL HEALTH,701 ARKANSAS BOULEVARD SUITE 300,TEXARKANA,AR,71854,Miller,(870) 772-5028,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044021,PERIMETER BEHAVIORAL HOSPITAL WEST MEMPHIS,600 NORTH 7TH STREET,WEST MEMPHIS,AR,72301,Crittenden,(870) 394-4113,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
044022,CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR,72034,Faulkner,(501) 205-0011,Psychiatric,Proprietary,No,,,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0
05015F,60th Medical Group (Travis AFB),103 Bodin Circle,Fairfield,CA,94533,Solano,(707) 423-7300,Acute Care - Department of Defense,Department of Defense,Yes,,,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0
050205,GLENDORA OAKS BEHAVIORAL HEALTH HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,91740,Los Angeles,(626) 852-5050,Acute Care Hospitals,Proprietary,Yes,,5,,7,3,1,2,0,,8,2,0,2,0,,11,4,0,3,1,,8,Not Available,5.0,14,4,
05020F,NH Camp Pendleton,200 Mercy Circle,Camp Pendleton,CA,92055,San Diego,(760) 725-1288,Acute Care - Department of Defense,Department of Defense,Yes,,,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,22.0,Not Available,Not Available,22.0,Not Available,Not Available,22.0
